hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids
HGNC:53766	AOX3P-AOX2P	AOX3P-AOX2P readthrough, transcribed pseudogene	other	readthrough	Approved	2q33.1	02q33.1							2017-10-25			2017-10-25	107161151	ENSG00000284084	OTTHUMG00000191899			NR_135011																									
HGNC:44426	APOC4-APOC2	APOC4-APOC2 readthrough (NMD candidate)	other	readthrough	Approved	19q13.32	19q13.32				APOC4-APOC2 readthrough			2013-05-14		2013-09-30	2013-09-30	100533990	ENSG00000224916	OTTHUMG00000180846			NR_037932																									
HGNC:51836	AQP7P5	aquaporin 7 pseudogene 5	other	unknown	Approved	9p11.2	09p11.2							2015-07-31			2016-07-19	102724655	ENSG00000278122	OTTHUMG00000013285			XM_017015366														PGOHUM00000303815											
HGNC:48348	ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate)	other	readthrough	Approved	10q24.1	10q24.1							2013-05-10			2013-05-10	100533184	ENSG00000269891	OTTHUMG00000184018			NR_037909																									
HGNC:52873	ARHGAP27P1-BPTFP1-KPNA2P3	ARHGAP27P1-BPTFP1-KPNA2P3 readthrough, transcribed pseudogene	other	readthrough	Approved	17q24.1	17q24.1							2016-12-14			2017-07-14	109286553	ENSG00000215769				NR_026899																									
HGNC:49197	ARL2-SNX15	ARL2-SNX15 readthrough (NMD candidate)	other	readthrough	Approved	11q13.1	11q13.1							2013-09-30			2016-11-09	100528018	ENSG00000273003	OTTHUMG00000185851			NR_037650																									
HGNC:42000	ARMCX5-GPRASP2	ARMCX5-GPRASP2 readthrough	other	readthrough	Approved	Xq22.1	Xq22.1							2011-05-31			2015-08-04	100528062	ENSG00000271147	OTTHUMG00000022059	uc065ajt.1		NM_001199818.1																									
HGNC:38830	ARPC4-TTLL3	ARPC4-TTLL3 readthrough	other	readthrough	Approved	3p25.3	03p25.3							2011-02-21			2014-11-19	100526693	ENSG00000250151	OTTHUMG00000161408	uc003btd.5		NM_001198793.1	CCDS56237																								
HGNC:716	ARSC2	arylsulfatase C, isozyme F	other	unknown	Approved	X	X			ARSC		Sulfatases	410	1988-08-31			2013-02-14	413								"1690506|6586638"					301780																	
HGNC:34026	ATP5F1EP2	ATP synthase F1 subunit epsilon pseudogene 2	other	unknown	Approved	13q12.2	13q12.2			ATP5EP2	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2			2008-03-17	2017-11-22	2017-11-22	2017-11-30	432369	ENSG00000180389	OTTHUMG00000016642	uc001uru.4	EC567419	NR_002162		Q5VTU8																							
HGNC:38844	ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough	other	readthrough	Approved	7q22.1	07q22.1			ATP5J2-PTCD1	ATP5J2-PTCD1 readthrough			2011-02-21	2017-11-22	2017-11-22	2017-11-22	100526740	ENSG00000248919	OTTHUMG00000160779	uc011kiw.3		NM_001198879.1	CCDS56496			MGI:1919049	RGD:1311473																				
HGNC:41999	ATP6V1G2-DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)	other	readthrough	Approved	6p21.33	06p21.33							2011-05-31		2013-05-09	2014-11-19	100532737	ENSG00000254870	OTTHUMG00000031200	uc063nav.1		NR_037853.1																									
HGNC:33793	ATP11AUN	ATP11A upstream neighbor	other	unknown	Approved	13q34	13q34	"FLJ26443|SMABLO1"	small blood protein 1	C13orf35	chromosome 13 open reading frame 35			2008-02-21	2014-02-11	2014-02-11	2015-03-18	400165	ENSG00000197595	OTTHUMG00000056478		AK129953	NM_207440		Q6ZP68																							
HGNC:915	B2MR	beta-2-microglobulin regulator	other	unknown	Approved	15q13-q15	15q13-q15							2001-06-22			2013-01-25	568								7061176					109710																	
HGNC:53652	B3GNT10	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 10 (putative)	other	unknown	Approved	9q33.2	09q33.2							2017-11-29			2017-11-29	100288842	ENSG00000214654	OTTHUMG00000020574			NR_027442																									
HGNC:15723	BAGE2	BAGE family member 2	other	unknown	Approved	21p11.2	21p11.2	CT2.2	cancer/testis antigen family 2, member 2		B melanoma antigen family, member 2			2001-06-01		2017-02-24	2017-02-24	85319	ENSG00000187172	OTTHUMG00000074128		AF218570	NM_182482		Q86Y30	12461691					617776																	
HGNC:42959	BCL2L2-PABPN1	BCL2L2-PABPN1 readthrough	other	readthrough	Approved	14q11.2	14q11.2							2011-09-28			2015-02-24	100529063	ENSG00000258643	OTTHUMG00000171498	uc001wjh.5		NM_001199864	CCDS55906	Q92843																							
HGNC:51843	BCL6-AS1	BCL6 antisense 1	other	unknown	Approved	3q27.3	03q27.3	lnc-RP11-211G3.3.1-1			BCL6 antisense RNA 1			2017-08-03		2017-08-17	2017-08-17	106146153	ENSG00000223401	OTTHUMG00000156440						26276666																						
HGNC:43690	BIVM-ERCC5	BIVM-ERCC5 readthrough	other	readthrough	Approved	13q33.1	13q33.1							2013-05-10			2013-05-10	100533467	ENSG00000270181	OTTHUMG00000184166		AB209312	NM_001204425																									
HGNC:42001	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)	other	readthrough	Approved	6p24.3	06p24.3			MUTED-TXNDC5	MUTED-TXNDC5 readthrough (non-protein coding)			2011-05-31	2012-08-01	2013-05-09	2014-11-19	100526836	ENSG00000259040	OTTHUMG00000171453	uc063lrt.1		NR_037616.1																									
HGNC:53563	BOLA2-SMG1P6	BOLA2-SMG1P6 readthrough	other	readthrough	Approved	16p11.2	16p11.2							2017-06-01			2017-06-01	107282092	ENSG00000261740	OTTHUMG00000176715			NM_001320622																									
HGNC:49183	BORCS7-ASMT	BORCS7-ASMT readthrough (NMD candidate)	other	readthrough	Approved	10q24.32	10q24.32			C10orf32-ASMT	C10orf32-ASMT readthrough (NMD candidate)			2013-09-25	2015-08-07	2015-08-07	2015-08-07	100528007	ENSG00000270316	OTTHUMG00000184175			NR_037644																									
HGNC:39979	BORCS8-MEF2B	BORCS8-MEF2B readthrough	other	readthrough	Approved	19p13.11	19p13.11			MEF2BNB-MEF2B	MEF2BNB-MEF2B readthrough			2011-04-19	2015-08-07	2015-08-07	2015-08-07	4207	ENSG00000064489	OTTHUMG00000154572			NM_005919.3																									
HGNC:42540	BTNL10	butyrophilin like 10	other	unknown	Approved	1q42.13	01q42.13	"BUTR1|BTN4"			butyrophilin-like 10	"Butyrophilins|V-set domain containing"	"458|590"	2012-03-27		2016-01-06	2017-05-11	100129094	ENSG00000215811	OTTHUMG00000191924			NM_001287262		A8MVZ5		MGI:2182073	RGD:1559732																				
HGNC:52276	BUB1B-PAK6	BUB1B-PAK6 readthrough	other	readthrough	Approved	15q15.1	15q15.1							2017-01-23			2017-01-23	106821730	ENSG00000259288	OTTHUMG00000172398			NM_001128628																									
HGNC:1153	BVR1	Burkitt lymphoma variant rearranging region 1	other	region	Approved	8q24	08q24							1990-09-10			2003-07-30	700				M16601																										
HGNC:32021	C1orf134	chromosome 1 open reading frame 134	other	unknown	Approved	1p36.13	01p36.13							2005-06-30			2016-09-30	574037				AL109627			Q5TEV5					C1orf134																		
HGNC:32040	C1orf137	chromosome 1 open reading frame 137 (putative)	other	unknown	Approved	1p13.1	01p13.1				chromosome 1 open reading frame 137			2005-07-08		2017-09-29	2017-09-29	388667	ENSG00000203864	OTTHUMG00000022754	uc031una.2		NM_001013643		Q5JT78					C1orf137																		
HGNC:32045	C1orf143	chromosome 1 open reading frame 143 (putative)	other	unknown	Approved	1q41	01q41				chromosome 1 open reading frame 143			2005-07-08		2017-09-28	2017-09-28	440714	ENSG00000228208	OTTHUMG00000039569	uc057pme.1		NR_146760																									
HGNC:32061	C1orf147	chromosome 1 open reading frame 147	other	unknown	Approved	1q32.1	01q32.1	FLJ32597						2005-07-12			2016-09-30	574431	ENSG00000162888	OTTHUMG00000036338	uc057owx.1	AK057159			Q96MC9					C1orf147																		
HGNC:32332	C1orf195	chromosome 1 open reading frame 195	other	unknown	Approved	1p36.21	01p36.21							2006-06-30			2016-09-30	727684	ENSG00000204464	OTTHUMG00000037852	uc057cmh.2		NM_001278501		Q5TG92					C1orf195																		
HGNC:32336	C1orf196	chromosome 1 open reading frame 196	other	unknown	Approved	1p36.21	01p36.21							2006-06-30			2016-09-30	780789							B1AJZ1		MGI:1917975			C1orf196																		
HGNC:33805	C1orf220	chromosome 1 open reading frame 220 (putative)	other	unknown	Approved	1q25.2	01q25.2	FLJ35530			chromosome 1 open reading frame 220			2007-11-30		2017-09-29	2017-09-29	400798	ENSG00000213057	OTTHUMG00000035078	uc001glx.1		NR_033186		Q5T0J3	26186194				C1orf220																		
HGNC:33759	C1orf229	chromosome 1 open reading frame 229	other	unknown	Approved	1q44	01q44	FLJ45717						2009-04-14			2016-09-30	388759	ENSG00000221953	OTTHUMG00000165196	uc001icg.2	BC156415	NM_207401		Q6ZS94					C1orf229																		
HGNC:49198	C1QTNF3-AMACR	C1QTNF3-AMACR readthrough (NMD candidate)	other	readthrough	Approved	5p13.2	05p13.2							2013-09-30			2016-11-09	100534612	ENSG00000273294	OTTHUMG00000186337			NR_037951																									
HGNC:25077	C2orf27A	chromosome 2 open reading frame 27A	other	unknown	Approved	2q21.2	02q21.2			C2orf27	chromosome 2 open reading frame 27			2004-05-10	2009-04-02	2009-04-02	2014-11-19	29798	ENSG00000197927	OTTHUMG00000131666		AF038169	NM_013310		Q580R0	"9110174|8619474"				C2orf27A																		
HGNC:33824	C2orf27B	chromosome 2 open reading frame 27B	other	unknown	Approved	2q21.2	02q21.2	MGC50273						2009-04-02			2014-10-06	408029	ENSG00000186825	OTTHUMG00000154614	uc002ttg.2	BC043584	NM_214461		Q580R0					C2orf27B																		
HGNC:26322	C2orf48	chromosome 2 open reading frame 48	other	unknown	Approved	2p25.1	02p25.1	FLJ25102						2006-09-01			2016-09-30	348738	ENSG00000163009	OTTHUMG00000119017	uc021vds.2	AK057831	NM_182626		Q96LS8	12477932				C2orf48																		
HGNC:1320	C3CER1	chromosome 3 common eliminated region 1	other	region	Approved	3p22-p21.2	03p22-p21.2	CER1						1999-08-05			2006-08-03	23739								"9408748|10610706"																						
HGNC:37259	C3orf79	chromosome 3 open reading frame 79	other	unknown	Approved	3q25.2	03q25.2							2009-09-30			2016-09-30	152118	ENSG00000237787	OTTHUMG00000159629	uc003ezt.4	AF086445	NM_001101337		P0CE67					C3orf79																		
HGNC:26630	C5orf17	chromosome 5 open reading frame 17 (putative)	other	unknown	Approved	5p14.2	05p14.2	FLJ34836			chromosome 5 open reading frame 17			2004-04-19		2017-09-28	2017-09-28	439936	ENSG00000248874	OTTHUMG00000161911	uc003jgq.1	AK092155	NR_131245		Q8NAS9					C5orf17																		
HGNC:26744	C5orf64	chromosome 5 open reading frame 64	other	unknown	Approved	5q12.1	05q12.1	FLJ37543						2011-05-05		2011-05-05	2016-09-30	285668	ENSG00000178722	OTTHUMG00000162412	uc063dxc.1		NM_173667		Q2M2E5			RGD:9403084		C5orf64																		
HGNC:48332	C5orf66	chromosome 5 open reading frame 66	other	unknown	Approved	5q31.1	05q31.1							2013-11-06			2016-09-30	100996485	ENSG00000224186	OTTHUMG00000163075			NM_001277348		Q9H5L9																							
HGNC:21179	C6orf99	chromosome 6 open reading frame 99	other	unknown	Approved	6q25.3	06q25.3	yR211F11.1						2003-11-26			2016-09-30	100130967	ENSG00000203711	OTTHUMG00000015921	uc063sod.1		NM_001195032		Q4VX62					C6orf99																		
HGNC:44671	C7orf55-LUC7L2	C7orf55-LUC7L2 readthrough	other	readthrough	Approved	7q34	07q34							2013-02-14			2015-08-19	100996928	ENSG00000269955	OTTHUMG00000151717	uc011kqt.4		NM_001244584	CCDS59084																								
HGNC:34432	C7orf65	chromosome 7 open reading frame 65	other	unknown	Approved	7p12.3	07p12.3	FLJ44108						2009-02-02			2016-09-30	401335	ENSG00000221845	OTTHUMG00000155550	uc010kyp.2		NM_001123065		Q6ZTY9					C7orf65																		
HGNC:33712	C7orf66	chromosome 7 open reading frame 66	other	unknown	Approved	7q31.1	07q31.1							2009-03-06			2016-09-30	154907	ENSG00000205174	OTTHUMG00000154867	uc003vfo.4	AF103078	NM_001024607		A4D0T2					C7orf66																		
HGNC:21911	C7orf69	chromosome 7 open reading frame 69	other	unknown	Approved	7p12.3	07p12.3	FLJ21075						2009-04-08			2016-09-30	80099	ENSG00000136275	OTTHUMG00000155648	uc064dnq.1	BC113681	NM_025031		Q9H7B7					C7orf69																		
HGNC:22364	C7orf71	chromosome 7 open reading frame 71	other	unknown	Approved	7p15.2	07p15.2							2009-09-11			2016-09-30	285941	ENSG00000222004	OTTHUMG00000152860	uc064cex.1		NM_001145531		A4D174					C7orf71																		
HGNC:17737	C8orf17	chromosome 8 open reading frame 17	other	unknown	Approved	8q24.3	08q24.3	MOST-1						2002-03-13			2016-09-30	100507249	ENSG00000250733	OTTHUMG00000140391	uc064qpr.1	AF220264			Q9NRJ1	17143515					616992																	
HGNC:26731	C8orf31	chromosome 8 open reading frame 31 (putative)	other	unknown	Approved	8q24.3	08q24.3	FLJ37131			chromosome 8 open reading frame 31			2005-07-18		2017-10-27	2017-10-27	286122	ENSG00000177335	OTTHUMG00000164771	uc003yxq.2		NM_173687		Q8N9H6					C8orf31																		
HGNC:48354	C8orf44-SGK3	C8orf44-SGK3 readthrough	other	readthrough	Approved	8q13.1	08q13.1							2013-05-10			2013-05-10	100533105	ENSG00000270024	OTTHUMG00000183957			NM_001204173				MGI:2182368																					
HGNC:32200	C8orf49	chromosome 8 open reading frame 49 (putative)	other	unknown	Approved	8p23.1	08p23.1	"FLJ30972|G4DM"	GATA4 downstream membrane protein		chromosome 8 open reading frame 49			2005-08-11		2017-09-28	2017-09-28	606553	ENSG00000255394	OTTHUMG00000165224	uc003wud.2	AK055534	NR_103552		Q96NF6					C8orf49																		
HGNC:42974	C8orf87	chromosome 8 open reading frame 87	other	unknown	Approved	8q22.1	08q22.1							2012-02-17			2016-09-30	389676	ENSG00000279847	OTTHUMG00000164196	uc003yft.2		NM_001242668		E5RJ46																							
HGNC:28581	C9orf62	chromosome 9 open reading frame 62	other	unknown	Approved	9q34.3	09q34.3	MGC35463						2004-01-06			2016-09-30	157927	ENSG00000178243	OTTHUMG00000020900	uc004cfo.4	BC034752	NM_173520		Q8N4C0	12477932				C9orf62																		
HGNC:31370	C9orf106	chromosome 9 open reading frame 106 (putative)	other	unknown	Approved	9q34.11	09q34.11	bA65J3.5			chromosome 9 open reading frame 106			2004-06-02	2013-12-05	2017-09-29	2017-09-29	414318	ENSG00000179082	OTTHUMG00000020781	uc004bxs.3	AK092588	NM_001012715		Q8NAJ2					C9orf106																		
HGNC:25943	C9orf118	chromosome 9 open reading frame 118	other	unknown	Approved	9q22.32	09q22.32	bA342C23.1						2004-06-02			2016-09-30	414312							A6NHY6					C9orf118																		
HGNC:31426	C9orf139	chromosome 9 open reading frame 139	other	unknown	Approved	9q34.3	09q34.3	"FLJ36268|FLJ42909"						2006-06-30			2016-09-30	401563	ENSG00000180539	OTTHUMG00000020959	uc004ckp.2		NM_207511		Q6ZV77					C9orf139																		
HGNC:31438	C9orf147	chromosome 9 open reading frame 147	other	unknown	Approved	9q32	09q32	bA32M23.3						2007-08-02			2016-09-30	100133204	ENSG00000230185	OTTHUMG00000020505	uc064vck.1	AK131020	XR_079257							C9orf147																		
HGNC:26718	C9orf163	chromosome 9 open reading frame 163	other	unknown	Approved	9q34.3	09q34.3	FLJ36779						2006-03-21			2016-09-30	158055	ENSG00000196366	OTTHUMG00000131725	uc004chy.4	AK055336	NM_152571		Q8N9P6					C9orf163																		
HGNC:33817	C9orf170	chromosome 9 open reading frame 170	other	unknown	Approved	9q21.33	09q21.33	FLJ45537						2009-02-11			2016-09-30	401535	ENSG00000204446	OTTHUMG00000159587	uc064uce.1	AK127445	NM_001001709		A2RU37					C9orf170																		
HGNC:23509	C10orf25	chromosome 10 open reading frame 25	other	unknown	Approved	10q11.21	10q11.21	FLJ30567						2003-11-21			2016-09-30	220979	ENSG00000165511	OTTHUMG00000018066	uc057syf.1	AK055129	NM_145022		Q5T742					C10orf25																		
HGNC:27275	C10orf91	chromosome 10 open reading frame 91 (putative)	other	unknown	Approved	10q26.3	10q26.3	bA432J24.4			chromosome 10 open reading frame 91			2004-03-16		2017-10-27	2017-10-27	170393	ENSG00000180066	OTTHUMG00000019289	uc057wxm.1	BC030794	NM_173541		Q5T1B1	12477932				C10orf91																		
HGNC:28582	C10orf111	chromosome 10 open reading frame 111	other	unknown	Approved	10p13	10p13	"MGC35468|bA455B2.4"						2004-04-20			2016-09-30	221060	ENSG00000176236	OTTHUMG00000017727	uc001inw.4	BC029034	NM_153244		Q8N326	12477932				C10orf111																		
HGNC:26805	C11orf44	chromosome 11 open reading frame 44	other	unknown	Approved	11q24.3	11q24.3	FLJ39058						2005-10-27			2016-09-30	283171	ENSG00000175728	OTTHUMG00000150705	uc031qfg.2	AK096377	NM_173580		Q8N8P7					C11orf44																		
HGNC:26915	C11orf72	chromosome 11 open reading frame 72 (putative)	other	unknown	Approved	11q13.2	11q13.2	FLJ90834			chromosome 11 open reading frame 72			2006-03-16		2017-10-26	2017-10-26	100505621	ENSG00000184224	OTTHUMG00000156309	uc031xsu.2	AK075315	NM_173578		Q8NBR9	23964515				C11orf72																		
HGNC:27282	C12orf77	chromosome 12 open reading frame 77	other	unknown	Approved	12p12.1	12p12.1							2009-09-30			2016-09-30	196415	ENSG00000226397	OTTHUMG00000170185	uc001rgf.4	BC046192	NM_001101339		C9JDV5	12477932				C12orf77																		
HGNC:27473	C12orf80	chromosome 12 open reading frame 80	other	unknown	Approved	12q13.13	12q13.13							2013-06-20			2016-09-30	283403	ENSG00000257137	OTTHUMG00000169626		BC038743	NM_001242696					RGD:9235721																				
HGNC:20358	C14orf144	chromosome 14 open reading frame 144 (putative)	other	unknown	Approved	14q32.33	14q32.33				chromosome 14 open reading frame 144			2003-01-28		2017-10-26	2017-10-26	145195				BC007749			Q96I85					C14orf144																		
HGNC:26549	C15orf32	chromosome 15 open reading frame 32	other	unknown	Approved	15q26.1	15q26.1	FLJ32831						2005-07-25			2016-09-30	145858	ENSG00000183643	OTTHUMG00000149844	uc002brc.2		NM_153040		Q32M92					C15orf32																		
HGNC:38824	C15orf38-AP3S2	C15orf38-AP3S2 readthrough	other	readthrough	Approved	15q26.1	15q26.1							2011-02-21			2014-11-19	100526783	ENSG00000250021	OTTHUMG00000162161	uc002bos.5		NM_001199058.1	CCDS55977			MGI:1917670																					
HGNC:33796	C15orf53	chromosome 15 open reading frame 53	other	unknown	Approved	15q14	15q14	FLJ35695						2007-11-21			2017-09-29	400359	ENSG00000175779	OTTHUMG00000129841	uc001zkf.1		NM_207444	CCDS10048	Q8NAA6					C15orf53																		
HGNC:33797	C15orf54	chromosome 15 open reading frame 54 (putative)	other	unknown	Approved	15q14	15q14	FLJ39531			chromosome 15 open reading frame 54			2007-11-21		2017-09-29	2017-09-29	400360	ENSG00000175746	OTTHUMG00000129843	uc059hne.1		NM_207445		Q8N8G6					C15orf54																		
HGNC:33868	C15orf56	chromosome 15 open reading frame 56	other	unknown	Approved	15q15.1	15q15.1	FLJ38596						2007-12-18			2016-09-30	644809	ENSG00000176753	OTTHUMG00000172399	uc001zla.3		NM_001039905		Q8N910					C15orf56																		
HGNC:28329	C16orf47	chromosome 16 open reading frame 47	other	unknown	Approved	16q22.3	16q22.3	FLJ26184						2005-02-10			2016-09-30	388289	ENSG00000197445	OTTHUMG00000137600	uc032eet.2	AK129695	NM_207385		Q6ZP98			RGD:9075776		C16orf47																		
HGNC:44658	C16orf97	chromosome 16 open reading frame 97	other	unknown	Approved	16q12.1	16q12.1							2012-12-12			2016-09-30	388276	ENSG00000261190	OTTHUMG00000173232	uc059udb.1		NM_001242473		H3BN30																							
HGNC:26480	C17orf77	chromosome 17 open reading frame 77	other	unknown	Approved	17q25.1	17q25.1	FLJ31882						2006-01-16			2016-09-30	146723	ENSG00000182352	OTTHUMG00000067611	uc002jla.2		NM_152460		Q96MU5					C17orf77																		
HGNC:32699	C17orf82	chromosome 17 open reading frame 82	other	unknown	Approved	17q23.2	17q23.2							2006-04-24			2016-09-30	388407	ENSG00000187013	OTTHUMG00000180077	uc002izh.2	BC046200	NM_203425		Q86X59					C17orf82																		
HGNC:34412	C17orf102	chromosome 17 open reading frame 102	other	unknown	Approved	17q12	17q12	FLJ44815						2009-01-30			2016-09-30	400591	ENSG00000197322	OTTHUMG00000156883	uc002hie.2		NM_207454		A2RUQ5			RGD:9084586		C17orf102																		
HGNC:42963	C17orf112	chromosome 17 open reading frame 112	other	unknown	Approved	17q22	17q22							2012-05-16			2016-09-30	100506650	ENSG00000227011	OTTHUMG00000132355	uc021uaf.2		NM_001243552		F2Z3M2																							
HGNC:24918	C18orf12	chromosome 18 open reading frame 12	other	unknown	Approved	18q21.1	18q21.1	"HEIL1|HsT2508"						2004-01-21			2016-11-09	84322	ENSG00000280197	OTTHUMG00000180217	uc060ozi.1	AB027121	XM_017026109		Q96KH6																							
HGNC:26447	C18orf15	chromosome 18 open reading frame 15 (putative)	other	unknown	Approved	18p11.21	18p11.21	"FLJ31338|HsT3231"			chromosome 18 open reading frame 15			2004-04-29		2017-11-02	2017-11-02	147276	ENSG00000279020	OTTHUMG00000181926	uc060nqi.1	AK055900			Q96N68	14702039																						
HGNC:51248	C18orf65	chromosome 18 open reading frame 65	other	unknown	Approved	18q23	18q23							2014-09-17			2016-09-30	400658	ENSG00000275763	OTTHUMG00000165996			NM_001272093		Q6ZTR6			RGD:9411526																				
HGNC:16210	C20orf78	chromosome 20 open reading frame 78	other	unknown	Approved	20p11.23	20p11.23	dJ1068E13.1						2001-07-17			2016-09-30	100128496	ENSG00000149443	OTTHUMG00000031982	uc061vrb.1	AL035563	NM_178462		Q9BR46	11780052				C20orf78																		
HGNC:16174	C20orf181	chromosome 20 open reading frame 181	other	unknown	Approved	20q13.33	20q13.33	dJ824A14.1						2001-07-17			2016-11-09	100128998	ENSG00000279610	OTTHUMG00000033002	uc061ypy.1	U63828	XR_001754451																									
HGNC:16180	C20orf187	chromosome 20 open reading frame 187 (putative)	other	unknown	Approved	20p12.2	20p12.2	dJ727I10.1			chromosome 20 open reading frame 187			2001-07-17		2017-09-28	2017-09-28	728434	ENSG00000125899	OTTHUMG00000031881	uc061vke.1	AL050322	NR_146878		Q9UGB4					C20orf187																		
HGNC:26601	C20orf197	chromosome 20 open reading frame 197	other	unknown	Approved	20q13.33	20q13.33	FLJ33860						2006-07-07			2018-02-06	284756	ENSG00000176659	OTTHUMG00000032880	uc002ybj.2	AK091179	NM_173644		Q8N268	12975309				C20orf197																		
HGNC:23051	C22orf24	chromosome 22 open reading frame 24	other	unknown	Approved	22q12.3	22q12.3	HSN44A4A						2004-05-05			2016-10-05	25775	ENSG00000128254	OTTHUMG00000030834	uc003aly.4		NM_015372		Q9Y442					C22orf24																		
HGNC:28010	C22orf34	chromosome 22 open reading frame 34	other	unknown	Approved	22q13.33	22q13.33							2006-07-06			2016-09-30	348645	ENSG00000188511	OTTHUMG00000030424	uc003biq.4	BC048207	NR_026997		Q6ZV56	12477932				C22orf34																		
HGNC:1525	CATR1	CATR tumorigenicity conversion 1	other	unknown	Approved	7q32	07q32							1995-11-14			2013-03-14	856				U25433			Q13166	7604004					600676																	
